                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78393,                0.63851,                 1.2243,                0.98424,                0.94719,                0.99069,                0.78988,                0.75732,                0.40372,                 1.2738,             0.00049529,             0.00049529,             0.00049529
                     36,                 0.7999,                0.65881,                 1.2397,                0.97031,                0.95801,                0.98881,                0.77512,                0.74665,                0.41767,                 1.2586,               0.000467,               0.000467,               0.000467
                     37,                  0.776,                  0.639,                 1.2241,                0.97346,                0.97808,                0.99319,                0.79035,                0.75144,                0.40886,                 1.2717,              0.0004387,              0.0004387,              0.0004387
                     38,                0.78262,                0.63816,                 1.2314,                0.98147,                0.99213,                0.99443,                0.79274,                0.74985,                0.37857,                 1.2571,             0.00041041,             0.00041041,             0.00041041
                     39,                0.75245,                 0.6185,                  1.201,                0.98558,                0.98045,                0.99364,                0.78275,                 0.8082,                0.40584,                 1.2765,             0.00038211,             0.00038211,             0.00038211
                     40,                0.73652,                0.61541,                 1.2106,                0.98869,                0.98504,                0.99412,                0.79671,                0.76519,                0.38133,                 1.2606,             0.00035382,             0.00035382,             0.00035382
                     41,                0.65986,                0.49053,                  1.216,                0.96012,                0.96888,                0.99239,                0.81138,                0.72324,                0.37236,                 1.2356,             0.00032553,             0.00032553,             0.00032553
                     42,                0.65368,                0.44882,                 1.1927,                0.97154,                0.96702,                0.98769,                 0.8046,                0.70244,                0.36283,                 1.2248,             0.00029723,             0.00029723,             0.00029723
                     43,                0.64376,                0.44485,                 1.1967,                 0.9836,                0.95644,                0.99208,                0.79836,                0.70897,                0.36454,                   1.22,             0.00026894,             0.00026894,             0.00026894
                     44,                0.63691,                0.43043,                  1.178,                      1,                0.97611,                0.99435,                0.81494,                0.71378,                0.35564,                 1.2345,             0.00024064,             0.00024064,             0.00024064
                     45,                0.61896,                0.41726,                 1.1648,                 0.9927,                 0.9784,                 0.9946,                0.81451,                0.69092,                0.34314,                 1.2225,             0.00021235,             0.00021235,             0.00021235
                     46,                0.58445,                 0.3977,                 1.1443,                0.98187,                0.98496,                0.99231,                0.80768,                0.71334,                0.35915,                 1.2512,             0.00018406,             0.00018406,             0.00018406
                     47,                0.58425,                0.39904,                 1.1379,                 0.9697,                0.98153,                0.99277,                0.81844,                0.68953,                0.35566,                 1.2055,             0.00015576,             0.00015576,             0.00015576
                     48,                0.56966,                0.38963,                 1.1336,                0.98742,                0.98823,                0.99419,                0.82323,                0.68671,                0.33085,                 1.2049,             0.00012747,             0.00012747,             0.00012747
                     49,                0.56863,                0.38435,                 1.1354,                0.98403,                0.96716,                 0.9931,                0.81984,                0.64767,                0.33794,                 1.1791,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.54626,                0.36596,                 1.1046,                0.98506,                0.97679,                0.99372,                0.82917,                0.65806,                0.32934,                 1.1752,             7.0878e-05,             7.0878e-05,             7.0878e-05
