                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8275,                0.72176,                 1.2608,                0.98763,                0.99136,                0.99466,                0.76955,                0.82387,                0.39495,                 1.3216,             0.00065091,             0.00065091,             0.00065091
                     36,                0.82887,                0.72088,                 1.2632,                0.97227,                0.98504,                 0.9942,                0.77774,                0.79622,                 0.3933,                 1.2891,             0.00062733,             0.00062733,             0.00062733
                     37,                0.81078,                0.70193,                 1.2436,                0.97874,                0.96673,                 0.9918,                0.75453,                0.88519,                0.40628,                 1.3405,             0.00060375,             0.00060375,             0.00060375
                     38,                 0.8228,                0.70206,                 1.2659,                0.96574,                0.99405,                0.99068,                0.74931,                0.83757,                0.40252,                 1.3178,             0.00058017,             0.00058017,             0.00058017
                     39,                0.78555,                0.69069,                 1.2381,                0.96513,                0.98276,                0.99422,                0.78895,                0.76799,                0.40465,                 1.2695,              0.0005566,              0.0005566,              0.0005566
                     40,                0.78604,                0.68495,                 1.2567,                0.95451,                0.98632,                0.99315,                0.80525,                 0.7089,                0.36776,                 1.2318,             0.00053302,             0.00053302,             0.00053302
                     41,                0.79449,                0.67212,                 1.2347,                0.96244,                 0.9876,                0.99251,                0.79744,                0.73606,                0.37907,                 1.2327,             0.00050944,             0.00050944,             0.00050944
                     42,                0.77947,                0.65883,                 1.2313,                  0.984,                0.99405,                0.99483,                0.78619,                0.79384,                0.36667,                 1.2834,             0.00048586,             0.00048586,             0.00048586
                     43,                0.80925,                0.65162,                 1.2421,                0.97386,                0.99405,                0.99198,                0.79461,                0.73968,                0.37779,                 1.2586,             0.00046228,             0.00046228,             0.00046228
                     44,                0.78462,                0.64747,                 1.2256,                0.98713,                0.98652,                0.99441,                0.79718,                0.73299,                0.36806,                 1.2592,              0.0004387,              0.0004387,              0.0004387
                     45,                 0.7605,                0.63648,                 1.2214,                0.98715,                0.97373,                0.99242,                0.79865,                   0.74,                0.37909,                 1.2302,             0.00041512,             0.00041512,             0.00041512
                     46,                0.75041,                0.62442,                 1.2104,                0.98209,                0.98983,                0.99414,                 0.8051,                0.73109,                0.35546,                 1.2163,             0.00039155,             0.00039155,             0.00039155
                     47,                0.72676,                0.59471,                 1.1972,                 0.9831,                0.98504,                 0.9941,                0.79678,                 0.7304,                 0.3557,                 1.2653,             0.00036797,             0.00036797,             0.00036797
                     48,                0.73039,                0.59852,                 1.1863,                 0.9613,                0.98504,                0.99241,                 0.8033,                0.71148,                0.34529,                 1.2259,             0.00034439,             0.00034439,             0.00034439
                     49,                0.72561,                    0.6,                 1.1889,                0.97414,                0.99405,                0.99342,                0.81569,                0.71784,                0.34555,                 1.2608,             0.00032081,             0.00032081,             0.00032081
                     50,                0.71906,                0.58321,                 1.1817,                0.98495,                0.98354,                0.99403,                 0.8142,                 0.7213,                0.33826,                  1.226,             0.00029723,             0.00029723,             0.00029723
                     51,                0.66886,                0.47381,                 1.2201,                0.99334,                0.98946,                0.99483,                0.81044,                0.71746,                0.35064,                 1.2322,             0.00027365,             0.00027365,             0.00027365
                     52,                 0.6503,                0.45887,                 1.1914,                0.99857,                0.99152,                  0.995,                0.81524,                0.72288,                0.34087,                 1.2204,             0.00025007,             0.00025007,             0.00025007
                     53,                 0.6217,                0.42751,                 1.1744,                0.99223,                0.99405,                0.99494,                0.81448,                0.69192,                0.33817,                 1.2042,              0.0002265,              0.0002265,              0.0002265
                     54,                0.64021,                 0.4517,                 1.1815,                0.98526,                0.98504,                0.99079,                0.81988,                0.69715,                0.32256,                 1.2273,             0.00020292,             0.00020292,             0.00020292
                     55,                0.60896,                0.41644,                 1.1516,                0.98424,                0.99042,                0.99395,                0.81484,                0.68934,                0.34504,                 1.2101,             0.00017934,             0.00017934,             0.00017934
                     56,                0.59093,                0.40031,                 1.1459,                0.99638,                0.98848,                0.99478,                0.83157,                0.68755,                0.32351,                 1.2128,             0.00015576,             0.00015576,             0.00015576
                     57,                0.57874,                0.38897,                 1.1329,                0.99792,                  0.984,                0.99433,                0.84684,                0.65838,                0.31147,                 1.1882,             0.00013218,             0.00013218,             0.00013218
                     58,                0.56643,                0.37998,                  1.144,                0.99311,                0.99137,                0.99403,                0.84495,                0.65785,                0.31148,                 1.1884,              0.0001086,              0.0001086,              0.0001086
                     59,                0.54156,                0.36638,                 1.1102,                0.98788,                0.99405,                0.99468,                0.82842,                0.67251,                0.31588,                 1.2056,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.54369,                0.36732,                  1.102,                0.98961,                0.98956,                0.99471,                0.83937,                0.66283,                0.31006,                 1.1929,             6.1447e-05,             6.1447e-05,             6.1447e-05
