                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1184,                0.87703,                 1.4232,                0.96899,                0.98382,                0.99409,                0.62218,                 1.2801,                0.72362,                 1.4362,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1028,                0.86701,                 1.4093,                0.99448,                0.98387,                0.99453,                0.67588,                  1.131,                0.64239,                  1.398,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1253,                0.87119,                 1.4274,                0.99021,                0.98197,                  0.995,                0.67404,                 1.1208,                0.64291,                 1.3191,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.0873,                 0.8517,                 1.3986,                0.98462,                0.98387,                0.99329,                0.69236,                0.98884,                0.58134,                 1.2914,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1014,                0.85091,                 1.4072,                0.95291,                0.95189,                0.98897,                0.69825,                  1.076,                0.61724,                 1.3211,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0748,                0.81446,                 1.4112,                0.96319,                0.93386,                 0.9889,                0.69057,                 1.1276,                0.64779,                 1.3291,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.0982,                0.86299,                 1.4141,                0.97642,                0.94826,                0.98799,                0.65542,                 1.2437,                0.62216,                 1.4647,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0643,                0.81002,                 1.3972,                0.95511,                      1,                0.99268,                0.64891,                 1.2017,                0.62124,                 1.4474,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0513,                0.82599,                 1.3697,                0.97384,                0.98063,                  0.995,                0.68096,                 1.0858,                0.59394,                 1.3537,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.0583,                0.83068,                 1.3889,                0.98112,                0.98033,                  0.995,                0.70355,                 1.0529,                0.60908,                 1.3053,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0452,                0.80477,                 1.3697,                0.96321,                0.99156,                0.99361,                0.67527,                 1.0814,                0.60575,                 1.3546,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0227,                0.77518,                 1.3637,                0.97629,                0.94773,                0.98822,                0.70144,                 1.0959,                0.53786,                 1.3901,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.0085,                0.76425,                 1.3376,                0.99274,                0.97983,                0.99329,                 0.7208,                 1.0934,                0.53757,                 1.4003,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0024,                0.75378,                   1.34,                0.99197,                0.96774,                0.98947,                0.71059,                 1.0213,                 0.5736,                 1.3001,               0.000467,               0.000467,               0.000467
                     71,                 1.0151,                0.75906,                 1.3495,                0.96544,                0.98387,                0.99222,                0.68775,                   1.11,                0.58876,                  1.398,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0133,                0.75733,                 1.3488,                0.98269,                0.99562,                  0.995,                0.69121,                 1.0723,                0.55247,                 1.3782,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0012,                 0.7523,                 1.3308,                0.99107,                      1,                  0.995,                0.70922,                 1.1187,                0.51392,                 1.4473,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0212,                 0.7574,                 1.3497,                0.98889,                      1,                  0.995,                0.69053,                 1.1644,                0.52907,                 1.4426,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0222,                0.76461,                 1.3676,                0.99499,                0.98387,                0.99409,                0.74463,                0.95478,                0.54607,                 1.2894,             0.00039626,             0.00039626,             0.00039626
                     76,                0.97861,                0.72419,                 1.3339,                 0.9926,                0.98147,                0.99453,                0.71054,                  1.053,                0.52686,                 1.3087,             0.00038211,             0.00038211,             0.00038211
                     77,                0.97215,                 0.7375,                 1.3333,                0.99027,                 0.9925,                  0.995,                0.67387,                  1.133,                0.54733,                 1.4139,             0.00036797,             0.00036797,             0.00036797
                     78,                0.95791,                0.70167,                 1.3169,                0.95729,                0.98387,                0.99368,                0.68919,                 1.1836,                0.58423,                 1.4472,             0.00035382,             0.00035382,             0.00035382
                     79,                0.98186,                0.72659,                 1.3326,                0.98993,                0.97901,                0.99329,                0.72904,                 1.0596,                0.59092,                 1.3332,             0.00033967,             0.00033967,             0.00033967
                     80,                 0.9194,                0.66345,                 1.2886,                0.99315,                      1,                  0.995,                0.73032,                 1.0047,                0.52032,                  1.273,             0.00032553,             0.00032553,             0.00032553
                     81,                0.99721,                0.71839,                 1.3295,                0.99543,                      1,                  0.995,                0.68555,                 1.1273,                0.50695,                 1.4098,             0.00031138,             0.00031138,             0.00031138
                     82,                0.93306,                0.68082,                 1.2976,                0.98969,                      1,                  0.995,                0.74268,                0.94381,                0.53678,                 1.2269,             0.00029723,             0.00029723,             0.00029723
                     83,                0.88635,                0.65765,                 1.2747,                0.99465,                      1,                  0.995,                0.70642,                 1.0367,                0.54736,                 1.3097,             0.00028308,             0.00028308,             0.00028308
                     84,                0.92653,                0.68341,                 1.3023,                0.99335,                      1,                  0.995,                0.72927,                 1.0329,                0.48965,                  1.355,             0.00026894,             0.00026894,             0.00026894
                     85,                0.88403,                0.66345,                 1.2747,                0.99568,                0.99784,                  0.995,                0.69071,                 1.1195,                0.49364,                 1.4105,             0.00025479,             0.00025479,             0.00025479
                     86,                0.91483,                0.66524,                 1.2829,                0.99365,                0.96667,                0.99313,                0.72186,                 1.0207,                0.55457,                 1.2769,             0.00024064,             0.00024064,             0.00024064
                     87,                0.92374,                0.69432,                 1.3155,                0.98834,                      1,                  0.995,                0.72213,                 1.0081,                0.49765,                 1.3247,              0.0002265,              0.0002265,              0.0002265
                     88,                0.89046,                0.65541,                 1.2647,                 0.9912,                      1,                  0.995,                 0.7311,                0.98952,                0.48271,                 1.3174,             0.00021235,             0.00021235,             0.00021235
                     89,                0.91647,                0.66648,                 1.2933,                 0.9812,                      1,                  0.995,                0.71593,                 1.0643,                0.49776,                 1.3748,              0.0001982,              0.0001982,              0.0001982
                     90,                0.85873,                0.64075,                 1.2413,                0.97055,                0.99206,                  0.995,                0.72632,                 1.0246,                0.50773,                 1.3732,             0.00018406,             0.00018406,             0.00018406
                     91,                0.76441,                0.47434,                 1.2116,                0.99196,                      1,                  0.995,                0.69033,                 1.0598,                0.49712,                 1.3838,             0.00016991,             0.00016991,             0.00016991
                     92,                 0.7683,                0.45293,                 1.2061,                0.98404,                      1,                  0.995,                 0.7141,                 1.0504,                0.50657,                 1.3652,             0.00015576,             0.00015576,             0.00015576
                     93,                0.71727,                0.42505,                 1.1582,                0.99054,                      1,                  0.995,                0.73076,                 1.0575,                0.49922,                 1.3437,             0.00014161,             0.00014161,             0.00014161
                     94,                0.72888,                0.42513,                  1.169,                0.98737,                      1,                  0.995,                0.71279,                 1.0385,                0.48978,                 1.3268,             0.00012747,             0.00012747,             0.00012747
                     95,                0.71049,                0.41875,                 1.1594,                0.97979,                      1,                  0.995,                0.72178,                 1.0455,                0.50236,                 1.3225,             0.00011332,             0.00011332,             0.00011332
                     96,                0.66196,                0.40073,                 1.1193,                 0.9879,                      1,                  0.995,                 0.7152,                  1.018,                0.48505,                 1.3102,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.69006,                0.40769,                 1.1352,                0.98355,                0.99547,                  0.995,                0.73362,                0.98699,                0.47545,                 1.2935,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.65998,                0.40064,                 1.1279,                0.94085,                      1,                0.99094,                0.71896,                0.98967,                0.48333,                 1.2974,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.64026,                0.39264,                  1.127,                0.99025,                0.96314,                0.99313,                0.72305,                0.96647,                0.49514,                 1.2968,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.63373,                0.40015,                 1.1093,                0.99421,                0.96357,                0.99313,                0.72387,                0.97418,                0.48594,                 1.2936,             4.2584e-05,             4.2584e-05,             4.2584e-05
