                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6833,                 3.2616,                 1.8857,                0.06127,                 0.6086,                0.14841,                0.03842,                 1.8117,                 14.882,                 1.9001,             0.00046499,             0.00046499,             0.00046499
                      2,                 1.9009,                 2.4748,                   2.09,                0.00154,                0.16667,                0.00152,                0.00051,                 3.5532,                    inf,                 16.937,             0.00093201,             0.00093201,             0.00093201
                      3,                 1.9922,                 2.4429,                 2.1957,                 0.0006,                0.16344,                0.00035,                0.00013,                 3.5768,                    inf,                 12.297,              0.0013896,              0.0013896,              0.0013896
                      4,                 1.9558,                 2.2946,                 2.1704,                0.90253,                0.03333,                0.03368,                0.01347,                  3.877,                    inf,                 6.5057,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9518,                 2.2969,                 2.1784,                0.10191,                0.17742,                0.08595,                0.03038,                 2.0463,                 5.3212,                 2.5341,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.9041,                 2.1635,                 2.1182,                0.56414,                0.45588,                0.43335,                0.19488,                 1.9243,                  5.248,                 2.2849,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.8351,                 2.0707,                 2.0659,                0.90437,                0.26667,                0.43669,                0.15868,                 2.2195,                 4.1207,                 2.4092,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.7607,                 1.9858,                 1.9993,                0.50786,                0.39462,                0.43428,                0.17271,                 1.9156,                 2.6735,                 2.1087,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7856,                 1.8929,                 2.0194,                 0.5726,                0.54246,                0.57591,                0.27175,                 1.7808,                 2.2183,                 2.0436,                0.00133,                0.00133,                0.00133
                     10,                 1.7199,                 1.8183,                 1.9771,                0.62817,                 0.7086,                0.69036,                0.30162,                 1.7946,                 1.9512,                 2.1014,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.7036,                  1.773,                 1.8979,                0.66035,                0.73978,                0.75908,                0.35761,                 1.7473,                 2.0325,                 1.9852,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6639,                 1.7635,                 1.8722,                0.61336,                0.72473,                0.75819,                0.30906,                 1.8102,                 1.5054,                 1.9918,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.6263,                 1.6943,                 1.8239,                0.67391,                0.49373,                 0.6258,                0.30699,                 1.5731,                 2.0877,                 1.8531,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.5846,                  1.633,                 1.8436,                0.67866,                0.57419,                 0.6291,                0.30761,                 1.6541,                 1.8035,                   1.89,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.5633,                 1.6121,                 1.8159,                0.86937,                 0.6914,                0.81393,                0.37318,                 1.6207,                 1.6179,                  1.878,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.5528,                 1.5925,                 1.7739,                0.67111,                0.81161,                0.78568,                0.40617,                 1.6144,                 1.4704,                 1.9003,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.5433,                 1.5438,                  1.752,                0.78691,                0.73978,                0.86049,                0.50132,                 1.5643,                 1.2483,                 1.7031,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.5304,                 1.5306,                  1.771,                0.86794,                0.78085,                  0.894,                0.45148,                 1.6721,                  1.186,                 1.8766,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.5384,                 1.4726,                 1.7714,                 0.7605,                0.88596,                0.89545,                0.46606,                 1.5357,                 1.3522,                 1.7304,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.4913,                 1.4319,                 1.7042,                0.76521,                0.86882,                0.84097,                0.39205,                 1.6941,                  1.202,                 1.8672,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.5133,                 1.4204,                 1.7231,                0.89372,                0.78411,                0.88553,                0.40624,                 1.6122,                  1.315,                 1.7506,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.5188,                 1.4585,                 1.7499,                0.88494,                0.75591,                0.92599,                0.53156,                 1.4631,                 1.3449,                 1.7029,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.5018,                 1.3976,                  1.708,                0.93275,                0.88602,                0.96103,                0.61033,                 1.3048,                0.94059,                 1.5369,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.4493,                 1.3428,                 1.6756,                0.86997,                0.93548,                0.95624,                0.51537,                 1.4482,                 1.0804,                 1.6036,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.4316,                 1.3438,                 1.6609,                0.88935,                0.91676,                0.96189,                0.53157,                 1.5221,                0.99647,                 1.6465,              0.0011036,              0.0011036,              0.0011036
                     26,                  1.446,                 1.3388,                 1.6831,                0.97193,                 0.8871,                0.96415,                0.57518,                 1.3561,                 1.0044,                 1.5894,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.4266,                 1.2954,                 1.6711,                0.90646,                0.90323,                 0.9565,                0.54615,                 1.4482,                 1.0512,                 1.5914,              0.0010753,              0.0010753,              0.0010753
                     28,                  1.377,                  1.247,                 1.6166,                0.92605,                0.97519,                0.98362,                0.53442,                 1.4783,                 1.0097,                 1.5854,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.3884,                  1.216,                  1.636,                0.90359,                0.81579,                0.94215,                0.55404,                 1.5629,                  1.031,                 1.7144,               0.001047,               0.001047,               0.001047
                     30,                 1.3779,                 1.2604,                 1.6404,                0.93664,                0.95161,                0.97164,                0.50721,                 1.5002,                0.99728,                 1.6292,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.3821,                 1.2421,                 1.6296,                0.95068,                0.96176,                0.97783,                0.51694,                 1.5328,                 0.9769,                 1.6362,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.3409,                 1.1617,                 1.5681,                0.90815,                0.93224,                0.95784,                 0.4982,                  1.597,                 1.0236,                 1.7281,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.3543,                 1.1966,                 1.6054,                0.90013,                0.86989,                0.92095,                 0.4994,                 1.4452,                  1.056,                 1.6317,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.3219,                  1.187,                 1.6004,                0.86742,                0.90816,                0.96776,                 0.5984,                 1.3357,                0.99624,                 1.6049,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.3646,                 1.1516,                 1.6276,                0.89186,                0.90423,                0.96589,                0.56488,                 1.4262,                0.98023,                 1.6072,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3226,                 1.0976,                 1.5854,                0.93714,                 0.9258,                0.95421,                0.57077,                 1.5141,                0.92552,                 1.6004,               0.000948,               0.000948,               0.000948
                     37,                 1.3338,                 1.1448,                 1.5743,                0.94378,                0.96186,                0.97256,                0.58993,                 1.3408,                0.80026,                 1.5163,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2931,                 1.1016,                 1.5267,                0.97583,                 0.9162,                0.97125,                0.64676,                 1.2434,                0.81649,                 1.4653,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3125,                 1.1222,                  1.558,                0.97335,                0.93661,                0.97949,                0.56912,                 1.3735,                0.84208,                 1.5336,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3039,                  1.111,                 1.5652,                0.88979,                0.92251,                0.97996,                0.58731,                 1.3256,                0.78455,                 1.6051,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2841,                 1.0792,                 1.5341,                0.93775,                0.90215,                0.98082,                0.60236,                 1.3326,                0.76994,                 1.4663,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2844,                 1.0791,                 1.5499,                0.99208,                0.95929,                0.99192,                0.63626,                 1.3711,                0.72862,                 1.5074,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2721,                 1.0384,                 1.5335,                0.94243,                0.95161,                0.98217,                0.59962,                 1.3237,                0.78179,                 1.4978,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2547,                 1.0406,                 1.5238,                0.97191,                0.96667,                0.96721,                0.56508,                 1.4202,                0.77348,                 1.5645,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2294,                 1.0235,                 1.5088,                  0.979,                0.95457,                0.99062,                0.65936,                 1.2114,                0.68329,                 1.4365,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2269,                0.98809,                 1.5049,                0.99451,                 0.9337,                0.99409,                0.63222,                 1.2493,                 0.7381,                 1.4511,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2581,                 1.0201,                 1.5222,                0.95985,                0.95054,                0.98586,                0.63487,                 1.2112,                0.71516,                 1.3851,             0.00079238,             0.00079238,             0.00079238
                     48,                  1.208,                0.99291,                 1.4905,                0.99782,                0.91719,                  0.995,                0.64683,                   1.34,                 0.7755,                 1.4571,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2277,                0.98465,                 1.4921,                0.96093,                0.93548,                0.98106,                0.65678,                 1.3522,                0.78736,                 1.4484,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2077,                0.97707,                 1.4824,                0.90775,                0.98387,                0.99158,                0.64975,                 1.2705,                0.76043,                 1.4463,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2168,                 1.0436,                 1.5089,                 0.9504,                0.98678,                0.99453,                0.68279,                 1.1445,                0.65531,                 1.4065,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1489,                0.90313,                 1.4454,                0.96258,                0.96774,                 0.9845,                 0.6215,                   1.34,                0.72831,                 1.4626,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1523,                0.88207,                  1.446,                0.99483,                0.96641,                0.99409,                0.63956,                  1.306,                0.64606,                 1.5245,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1512,                0.91954,                 1.4527,                0.98939,                0.94821,                0.98499,                0.56055,                 1.4334,                0.71134,                 1.5854,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1219,                0.89255,                 1.4404,                0.96759,                0.97541,                0.99235,                0.64714,                 1.2144,                0.68252,                  1.444,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1507,                0.88309,                 1.4438,                0.96048,                0.95993,                0.98865,                0.65944,                 1.2042,                0.62254,                 1.3386,             0.00066506,             0.00066506,             0.00066506
